sample	date	info	current [A]	voltage [V]	area [cm^2]	flow_rate_C [l/min]	flow_rate_A [l/min]	Temperature [Cel.]	current density [A/cm^2]	power [W]	power density [W]
test	01.01.2021	xyz	1.0	0.255	5	200	5	65	0.2	0.255	0.051000000000000004
test	01.01.2021	xyz	0.9	0.269	5	200	5	65	0.18	0.2421	0.048420000000000005
test	01.01.2021	xyz	0.8	0.285	5	200	5	65	0.16	0.22799999999999998	0.045599999999999995
test	01.01.2021	xyz	0.7	0.301	5	200	5	65	0.13999999999999999	0.21069999999999997	0.04214
test	01.01.2021	xyz	0.6	0.321	5	200	5	65	0.12	0.1926	0.03852
test	01.01.2021	xyz	0.5	0.345	5	200	5	65	0.1	0.1725	0.034499999999999996
test	01.01.2021	xyz	0.4	0.371	5	200	5	65	0.08	0.1484	0.02968
test	01.01.2021	xyz	0.3	0.4	5	200	5	65	0.06	0.12	0.024
test	01.01.2021	xyz	0.2	0.45	5	200	5	65	0.04	0.09000000000000001	0.018000000000000002
test	01.01.2021	xyz	0.1	0.5	5	200	5	65	0.02	0.05	0.01
test	01.01.2021	xyz	0.0	0.68	5	200	5	65	0.0	0.0	0.0
test2	1	1	1.0	0.255	1	1	1	1	1.0	0.255	0.255
test2	1	1	0.9	0.269	1	1	1	1	0.9	0.2421	0.2421
test2	1	1	0.8	0.285	1	1	1	1	0.8	0.22799999999999998	0.22799999999999998
test2	1	1	0.7	0.301	1	1	1	1	0.7	0.21069999999999997	0.21069999999999997
test2	1	1	0.6	0.321	1	1	1	1	0.6	0.1926	0.1926
test2	1	1	0.5	0.345	1	1	1	1	0.5	0.1725	0.1725
test2	1	1	0.4	0.371	1	1	1	1	0.4	0.1484	0.1484
test2	1	1	0.3	0.4	1	1	1	1	0.3	0.12	0.12
test2	1	1	0.2	0.45	1	1	1	1	0.2	0.09000000000000001	0.09000000000000001
test2	1	1	0.1	0.5	1	1	1	1	0.1	0.05	0.05
test2	1	1	0.0	0.68	1	1	1	1	0.0	0.0	0.0
1	1	1	1.0	0.255	11	1	1	11	0.09090909090909091	0.255	0.023181818181818182
1	1	1	0.9	0.269	11	1	1	11	0.08181818181818182	0.2421	0.02200909090909091
1	1	1	0.8	0.285	11	1	1	11	0.07272727272727274	0.22799999999999998	0.02072727272727273
1	1	1	0.7	0.301	11	1	1	11	0.06363636363636363	0.21069999999999997	0.019154545454545452
1	1	1	0.6	0.321	11	1	1	11	0.05454545454545454	0.1926	0.017509090909090908
1	1	1	0.5	0.345	11	1	1	11	0.045454545454545456	0.1725	0.015681818181818182
1	1	1	0.4	0.371	11	1	1	11	0.03636363636363637	0.1484	0.013490909090909093
1	1	1	0.3	0.4	11	1	1	11	0.02727272727272727	0.12	0.01090909090909091
1	1	1	0.2	0.45	11	1	1	11	0.018181818181818184	0.09000000000000001	0.008181818181818182
1	1	1	0.1	0.5	11	1	1	11	0.009090909090909092	0.05	0.004545454545454546
1	1	1	0.0	0.68	11	1	1	11	0.0	0.0	0.0
